name,review_text,review_rating,sentiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sperry Top-Sider Men's A/O Boat Shoe,"It takes about 10 hours or so to break this pair of shoes in. And they are comfortable once this is done. I personally got another probably 20-30 hours worth of wearing these until they completed started to suck. They are made cheap and the insoles have came unglued and folded up in both shoes. Less than impressed considering the money I spent on these. I received these on April 24th, and haven't even worn them since the end of May.",1,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanerdun Lace-up Corset Elastic Cinch Belt Waist Belt Three Sizes,"I am really glad I made this purchase. I thought the sides would curl because of its elastic, but it doesn't. the quality is ok and for the money, definitely a win. I have worn it several times and still going strong (no rips or tears). Just to let you know that the back has a velcro strip that holds it together and ...boy does it hold. One more thing about the velcro... if not properly overlapped can irritate any skin it rubs up against. So keep that in mind if you are wearing it with jeans or a skirt with any top that doesn't fit into them (aka crop tops) You really can't be it for the cost. just make sure to size it right, that will be the only problem. I am 5'2 and 110lbs and it fits perfect. As in if it was 1/2 inch smaller, it would be too small or those strings would have had to come undone. I say it's WORTH IT!",4,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skip Hop Zoo Little Kid Luggage, Monkey","I found in annoying that other reviews made this product seem so small. If I had realized how roomy this luggage actually was, I would have bought the ladybug one for my daughter who is about to turn 8. I bought the monkey luggage for my 9 month old son for an 8 day trip and this has more than enough room. *edited* To be specific I fit: (sizes between 6 months to 12 months) 16 onsies both short and long sleeved 2 shirts 10 pairs of pants 1 sweater 1 hoodie 1 footsie pyjama 2 burp cloths 1 fleece body suite 6 pairs of socks A hooded baby bath towel (the thick kind) 12 bandana bibs And 14 size 4 diapers (in the front pocket) The picture included is of this luggage fully packed with everything I just mentioned.",5,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kate spade new york Small Square Stud Earrings,"Kate Spade accessories always make a style statement. And these oversized Kate studs did exactly that. I was pleased with the size, weight, and overall aesthetic of the earrings. -- With the multi glitter and gold tone metal these studs scream chic! -- The stem of these earings is appropriately sized so it doesn't poke in the back of my ear. -- Check my pics to see how they arrive, they are made in China and they just come in a pouch and ziplock bag. Don't hope for fancy packaging -- And it is 'HUGE' don't think it is Small reading the title. Check the pic. Overall I like the stud but since it is really huge, I wish it was a little smaller.",4,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAC Zac Posen EARTHA ICONIC TOP HANDLE MINI BLACK,My Sister is going to be so Happy when she opens this at Mother's Day brunch 💝 It's so dainty and so well made !!! Even has pegs on the bottom so your pretty bag never touches the floors 💕🌸💕 Very pleased 💕🌸💕,5,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duncan Yo Yo Trick Book,Decent book to get your yo-you skills going. I'd recommend this to anyone who wants to get started with tricks. Depending on your yo-yo some of these may be hard or impossible. If the yo-yo string can't slip at all when unwound then you'll have difficulty. This is perfectly paired with something like the Duncan Pulse Yo Yo.,3,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If You Can Read This Book Lovers Novel Reading Funny T shirt,"I bought this as a gift for my niece's bday, she and i both are introverts and love to read. I'm pretty sure she'll love it.",5,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine West Women's Hollie Leather Ankle Boot,"These boots are classic, sexy but comfortable. For me they run almost half a size large. Not a dealbreaker since I use really thick socks between fall, winter through NYC Spring. I usually wear a US size 6 but could have ordered a US size 5.5. They arrived in perfect condition. Really like them!",4,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HzCodelo Kids Toddler Big Little Girls Fashion Cotton Crew Seamless Socks -5 Pairs,"These are cute socks and seem to be of good quality, but I don't understand how anyone thinks they're good for kids with sensitivity issues. They have strings on the inside as well as a seam with loose strings/bumps on the toe. They did not pass the test with my sensitive girl.",3,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breitling Aerospace Evo Mens Watch E7936310/C869,The Breitling Aerospace Evo is a watch that I have been promising myself for some time. It turned out to be everything and more than I had wished for in a prestige timepiece such as this. Delivery from the USA to NZ took less than four days so in every respect of this purchase I have been most impressed!,5,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invicta Women's Mako Pro Diver Quartz 8942,"Good watch, feels comfortable when wearing it, but it is waaaayyyy smaller than I expected, I guess I should read the details better before ordering it, I want it to wear it in the swimming pool, beach and for recreational diving and it looks like it will do the job, took it for a shower and dog bathing and it survived with no issue. Overall I am ok with it, not extremely pleased due to the small size but that is more my fault than theirs, so just make sure you do a better reading than me before ordering and decide if that size is good for you and you will have a nice looking sturdy product.",4,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetime Womens Pleated Short Braces Skirt (FBA),Super Cute! So cute it even looks great on a guy!,5,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEARCASE Women's Tassels Soft Plaid Tartan Scarf Winter Large Blanket Wrap Shawl,"So I’m not happy. This “beige” is not beige it’s icy light blue. It’s pretty. But unfortunately, not what I ordered. And not what was described. I bought this for a Christmas photo shoot. I was unable to order another color before the shoot took place. Disappointed. Color matters. I read reviews with photos & see someone took a photo of the “beige” one & another had the same complaint I have! I just wish I would have known that they never corrected this issue! I figured the error was fixed by now. :( Please update description if “beige” isn’t beige & change to “light blue”. Inaccuracy is misleading & highly disappointing. I will not buy from this company again! Who knows what you will get! Totally bummed. As I’ll have to wear something else to tie in my family’s clothes together... had hoped this was going to be the piece. It was ESSENTIAL! :’( Think again. Buyer beware do not purchase “beige” unless you want icy light blue instead. There is no beige... :( :( :( I learned the hard way. Sadly. Photos will suffer because of it.",1,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia Baby Tiny Bear II Bunting,"We put this outfit on our 14 week old for the first time yesterday and went for a stroll. My son looked so stinkin' cute that everyone we passed commented on how much they loved it! We walked for about an hour in 50 degree Seattle weather and my son seemed to be comfortable, after we freed his hands. ;).",5,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNJXD Girl Dress Kids Ruffles Lace Party Wedding Dresses,"gorgeous dress, nicely made!!! it's just a little big on my 4 year old but it fits well enough to wear it. seriously a great deal for such a fabulous dress!",5,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutano Unisex-Baby Newborn Cozie Fleece Bootie,"We didnt get the chance to use these much because live in southern Cali and its usually warm here. I purchased for him to wear on early morning or evening runs but I never went on any runs lol. BUT he has actually been able to wear them recently on a trip to Oregon even though they are a bit small, the fabric is so soft that its like a sock even though its a bit small and doesnt fit perfectly in the length they still work. So I loved that! They are also adorable and incredibly soft. The snap closure is perfect because they are harder for little hands to undo or pull off. And there are two snaps for fitting. I may be purchasing again in a larger size if need be. Definitely recommend. I wish they made them with skidders on the bottom for walking around the house in. I have tried skidders and cant seem to find any that we like",5,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
